library,executionTime,memoryUsage,outputSize,compressionRatio,complexityScore,operationType,documentSize,iteration,timestamp,complexityRange,throughput,memoryKB,outputSizeKB
"schema-aggregated",3.5338749999999663,0,17886,8.918696551896083,25,"Change service CPU,Change health check path,Add sidecar containers,Change service name,Modify container image source",200545,22,2025-06-28T19:19:32.591Z,"Low",282.98,0.00,17.47
"json-diff-kit",21.81316700000002,9984071,1682381,838.9044852776184,25,"Change service CPU,Change health check path,Add sidecar containers,Change service name,Modify container image source",200545,22,2025-06-28T19:19:32.591Z,"Low",45.84,9750.07,1642.95
"schema-aggregated",3.3636249999999563,0,20359,10.650296350158769,21,"Change environment region,Change service name,Remove environment variable,Change port number,Add health check grace period",191159,23,2025-06-28T19:19:32.591Z,"Low",297.30,0.00,19.88
"json-diff-kit",20.307458999999994,9636467,1604778,839.4990557598649,21,"Change environment region,Change service name,Remove environment variable,Change port number,Add health check grace period",191159,23,2025-06-28T19:19:32.591Z,"Low",49.24,9410.61,1567.17
"schema-aggregated",0.609958000000006,0,26076,148.31077238084404,20,"Change base path,Add single environment variable,Change health check timeout,Add watch paths,Change sticky sessions duration",17582,24,2025-06-28T19:19:32.591Z,"Low",1639.46,0.00,25.46
"json-diff-kit",0.6698749999999336,0,148067,842.1510635877603,20,"Change base path,Add single environment variable,Change health check timeout,Add watch paths,Change sticky sessions duration",17582,24,2025-06-28T19:19:32.591Z,"Low",1492.82,0.00,144.60
"schema-aggregated",1.5571250000000418,0,14424,17.640799853237937,30,"Add build commands,Change service CPU,Change service memory,Change source branch,Remove dependencies,Add watch paths,Change source branch",81765,25,2025-06-28T19:19:32.591Z,"Low",642.21,0.00,14.09
"json-diff-kit",5.970916999999986,2722208,682758,835.0247660979637,30,"Add build commands,Change service CPU,Change service memory,Change source branch,Remove dependencies,Add watch paths,Change source branch",81765,25,2025-06-28T19:19:32.591Z,"Low",167.48,2658.41,666.76
"schema-aggregated",1.9651250000000573,0,11161,10.348920229584504,12,"Change environment name,Toggle sticky sessions,Change source branch,Add single environment variable",107847,26,2025-06-28T19:19:32.591Z,"Low",508.87,0.00,10.90
"json-diff-kit",9.122582999999963,3445069,904211,838.4201693139355,12,"Change environment name,Toggle sticky sessions,Change source branch,Add single environment variable",107847,26,2025-06-28T19:19:32.591Z,"Low",109.62,3364.33,883.02
